Model No,Brand,Control,Prog Name,Type,New CEC,New Star
RIH110A(outdoor unit); DIV110A (indoor unit),AQUILON,Ducted,Single Split System,,3.25,1.5
RIH85A(outdoor unit); DIV85A (indoor unit),AQUILON,Ducted,Single Split System,,2.81,1.5
