Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BC-40,COOLA CAN,830,Chest,Refrigerator,292,1
BC-40S,COOLA CAN,809,Upright,Refrigerator,180,2
BC-40T,COOLA CAN,809,Upright,Refrigerator,180,2
