Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DW12-TFE4SS,HAIER,Single,Freestanding,,382,2
DW12-TFE4WH,HAIER,Single,Freestanding,,382,2
HDW100SCT,HAIER,Single,Freestanding,,382,2
HDW100WCT,HAIER,Single,Freestanding,,382,2
HDW12-SFE1**,Haier,Single,Freestanding,,320,2.5
HDW12-SFE3**,Haier,Single,Freestanding,,266,3
HDW12-TFE3**,Haier,Single,Freestanding,,280,3
HDW300SS,HAIER,Single,Freestanding,,382,2
HDW9-TFE3**,Haier,Single,Freestanding,,290,2
