Model No,Brand,Control,Prog Name,Type,New CEC,New Star
52C850SK,Simpson,Single,Freestanding,850,400,2
52C850WK,Simpson,Single,Freestanding,850,400,2
SSF6105W,Simpson,Single,Freestanding,850,274,3
SSF6105X,Simpson,Single,Freestanding,850,274,3
