Model No,Brand,Conn_Mode,MachineAction,Loading,CEC_,New Star
EWZ 128DF-AUS,ZEROWATT,Cold,Drum,Front,465,3
OZ 1409D,ZEROWATT,Cold,,Front,360,3.5
OZ149D,ZEROWATT,Cold,,Front,358,4
XQB50-808GF,ZEROWATT,Dual,Impeller,Top,459,1.5
XQB70-722,ZEROWATT,Dual,Impeller,Top,569,1.5
XQB70-H71GT,ZEROWATT,Dual,Impeller,Top,566,1.5
XQB70-T61G,ZEROWATT,Dual,Impeller,Top,566,1.5
XQB70-T62G,ZEROWATT,Dual,Impeller,Top,566,1.5
